			00 00 70 00 00 C8	51200	
105.7	3.85E+05		12 5E 72 F0 0A D4	54282	35
105.77	1.16E+05		6E 71 71 C8 2E D4	54318	36
105.84	3.22E+03		92 0C 70 A2 52 D4	54354	36
105.91	1.09E+06		72 42 73 7A 76 D4	54390	36
105.98	4.41E+05		B7 6B 72 54 9A D4	54426	36
106.05	0.00E+00		00 00 70 2E BE D4	54462	36
106.12	1.45E+05		6E 23 72 06 E2 D4	54498	36
106.19	6.85E+04		DB 42 71 E0 05 D5	54533	35
106.26	5.76E+05		25 23 73 B8 29 D5	54569	36
106.33	4.32E+05		92 69 72 92 4D D5	54605	36
106.4	3.04E+06		52 2E 74 6A 71 D5	54641	36
106.47	3.91E+05		6E 5F 72 44 95 D5	54677	36
106.54	2.67E+05		25 41 72 1C B9 D5	54713	36
106.61	2.94E+05		DB 47 72 F6 DC D5	54748	35
106.68	0.00E+00		00 00 70 CE 00 D6	54784	36
106.75	1.51E+06		05 5C 73 A8 24 D6	54820	36
106.82	2.31E+05		6E 38 72 82 48 D6	54856	36
106.89	4.36E+05		6E 6A 72 5A 6C D6	54892	36
106.96	0.00E+00		00 00 70 34 90 D6	54928	36
107.03	1.35E+05		EE 20 72 0C B4 D6	54964	36
107.1	5.32E+05		7B 20 73 E6 D7 D6	54999	35
107.17	0.00E+00		00 00 70 BE FB D6	55035	36
107.24	2.93E+02		25 01 70 98 1F D7	55071	36
107.31	4.16E+05		6E 65 72 70 43 D7	55107	36
107.38	2.05E+06		0E 7D 73 4A 67 D7	55143	36
107.45	1.86E+06		80 71 73 24 8B D7	55179	36
107.52	2.22E+06		E9 21 74 FC AE D7	55214	35
107.59	7.43E+05		57 2D 73 D6 D2 D7	55250	36
107.66	1.96E+06		A5 77 73 AE F6 D7	55286	36
107.73	1.13E+06		12 45 73 88 1A D8	55322	36
107.8	7.06E+05		1B 2B 73 60 3E D8	55358	36
107.87	1.14E+06		92 45 73 3A 62 D8	55394	36
107.94	1.41E+06		0E 56 73 12 86 D8	55430	36
108.01	3.09E+06		37 2F 74 EC A9 D8	55465	35
108.08	9.71E+05		49 3B 73 C6 CD D8	55501	36
108.15	2.57E+06		22 27 74 9E F1 D8	55537	36
108.22	1.68E+05		12 29 72 78 15 D9	55573	36
108.29	2.93E+03		6E 0B 70 50 39 D9	55609	36
108.36	1.01E+06		AE 3D 73 2A 5D D9	55645	36
108.43	7.93E+05		60 30 73 02 81 D9	55681	36
108.5	9.27E+05		9B 38 73 DC A4 D9	55716	35
108.57	4.07E+06		27 3E 74 B4 C8 D9	55752	36
108.64	1.59E+06		12 61 73 8E EC D9	55788	36
108.71	2.58E+06		6E 27 74 68 10 DA	55824	36
108.78	2.73E+06		97 29 74 40 34 DA	55860	36
108.85	2.89E+06		11 2C 74 1A 58 DA	55896	36
108.92	2.07E+06		32 7E 73 F2 7B DA	55931	35
108.99	3.72E+06		B0 38 74 CC 9F DA	55967	36
109.06	2.73E+06		9A 29 74 A4 C3 DA	56003	36
109.13	1.96E+06		7B 77 73 7E E7 DA	56039	36
109.2	3.95E+06		36 3C 74 56 0B DB	56075	36
109.27	5.39E+06		43 52 74 30 2F DB	56111	36
109.34	5.04E+06		DB 4C 74 08 53 DB	56147	36
109.41	9.60E+06		9B 24 75 E2 76 DB	56182	35
109.48	1.26E+07		1E 30 75 BC 9A DB	56218	36
109.55	1.05E+07		04 28 75 94 BE DB	56254	36
109.62	1.59E+07		A3 3C 75 6E E2 DB	56290	36
109.69	1.36E+07		0D 34 75 46 06 DC	56326	36
109.76	1.68E+07		FA 3F 75 20 2A DC	56362	36
109.83	1.65E+07		13 3F 75 F8 4D DC	56397	35
109.9	1.93E+07		7E 49 75 D2 71 DC	56433	36
109.97	1.59E+07		93 3C 75 AA 95 DC	56469	36
110.04	1.36E+07		DA 33 75 84 B9 DC	56505	36
110.11	1.46E+07		AD 37 75 5E DD DC	56541	36
110.18	6.90E+06		4A 69 74 36 01 DD	56577	36
110.25	6.00E+06		7E 5B 74 10 25 DD	56613	36
110.32	4.98E+06		FB 4B 74 E8 48 DD	56648	35
110.39	7.00E+06		BE 6A 74 C2 6C DD	56684	36
110.46	1.02E+07		E1 26 75 9A 90 DD	56720	36
110.53	5.39E+06		30 52 74 74 B4 DD	56756	36
110.6	1.11E+07		35 2A 75 4C D8 DD	56792	36
110.67	1.14E+07		78 2B 75 26 FC DD	56828	36
110.74	9.79E+06		5C 25 75 00 20 DE	56864	36
110.81	7.22E+06		2B 6E 74 D8 43 DE	56899	35
110.88	1.07E+07		A5 28 75 B2 67 DE	56935	36
110.95	1.00E+07		3D 26 75 8A 8B DE	56971	36
111.02	1.23E+07		F2 2E 75 64 AF DE	57007	36
111.09	7.86E+06		DD 77 74 3C D3 DE	57043	36
111.16	5.59E+06		57 55 74 16 F7 DE	57079	36
111.23	2.95E+06		00 2D 74 EE 1A DF	57114	35
111.3	3.18E+06		72 30 74 C8 3E DF	57150	36
111.37	5.60E+06		75 55 74 A2 62 DF	57186	36
111.44	4.01E+06		36 3D 74 7A 86 DF	57222	36
111.51	4.96E+06		B1 4B 74 54 AA DF	57258	36
111.58	5.52E+06		36 54 74 2C CE DF	57294	36
111.65	4.15E+06		51 3F 74 06 F2 DF	57330	36
111.72	4.23E+06		92 40 74 DE 15 E0	57365	35
111.79	4.08E+06		46 3E 74 B8 39 E0	57401	36
111.86	1.46E+06		D2 58 73 90 5D E0	57437	36
111.93	2.16E+06		06 21 74 6A 81 E0	57473	36
112	8.69E+05		0E 35 73 42 A5 E0	57509	36
112.07	1.06E+06		69 40 73 1C C9 E0	57545	36
112.14	1.21E+06		CE 49 73 F6 EC E0	57580	35
112.21	4.42E+05		00 6C 72 CE 10 E1	57616	36
112.28	1.08E+06		C5 41 73 A8 34 E1	57652	36
112.35	1.02E+06		57 3E 73 80 58 E1	57688	36
112.42	6.31E+05		7B 26 73 5A 7C E1	57724	36
112.49	6.07E+05		0E 25 73 32 A0 E1	57760	36
112.56	1.25E+06		72 4C 73 0C C4 E1	57796	36
112.63	1.06E+06		7B 40 73 E4 E7 E1	57831	35
112.7	5.59E+05		25 22 73 BE 0B E2	57867	36
112.77	2.82E+05		EE 44 72 98 2F E2	57903	36
112.84	1.37E+06		80 53 73 70 53 E2	57939	36
112.91	1.19E+06		B2 48 73 4A 77 E2	57975	36
112.98	5.26E+05		1B 20 73 22 9B E2	58011	36
113.05	8.44E+05		80 33 73 FC BE E2	58046	35
113.12	5.41E+04		DB 34 71 D4 E2 E2	58082	36
113.19	3.42E+05		92 53 72 AE 06 E3	58118	36
113.26	9.29E+05		AE 38 73 86 2A E3	58154	36
113.33	2.07E+06		25 7E 73 60 4E E3	58190	36
113.4	1.20E+06		00 49 73 3A 72 E3	58226	36
113.47	1.67E+06		17 66 73 12 96 E3	58262	36
113.54	2.00E+06		C5 79 73 EC B9 E3	58297	35
113.61	6.73E+05		17 29 73 C4 DD E3	58333	36
113.68	1.18E+06		37 48 73 9E 01 E4	58369	36
113.75	2.49E+06		ED 25 74 76 25 E4	58405	36
113.82	3.69E+06		3A 38 74 50 49 E4	58441	36
113.89	2.44E+06		2D 25 74 28 6D E4	58477	36
113.96	2.28E+06		CB 22 74 02 91 E4	58513	36
114.03	3.30E+06		65 32 74 DA B4 E4	58548	35
114.1	3.86E+06		EA 3A 74 B4 D8 E4	58584	36
114.17	2.36E+06		FB 23 74 8E FC E4	58620	36
114.24	2.19E+06		58 21 74 66 20 E5	58656	36
114.31	3.34E+06		08 33 74 40 44 E5	58692	36
114.38	1.16E+06		B7 46 73 18 68 E5	58728	36
114.45	2.66E+06		A3 28 74 F2 8B E5	58763	35
114.52	2.62E+06		F8 27 74 CA AF E5	58799	36
114.59	3.52E+06		B1 35 74 A4 D3 E5	58835	36
114.66	1.16E+06		09 47 73 7C F7 E5	58871	36
114.73	1.55E+06		60 5E 73 56 1B E6	58907	36
114.8	1.49E+06		1B 5B 73 30 3F E6	58943	36
114.87	7.08E+05		3B 2B 73 08 63 E6	58979	36
114.94	2.10E+06		16 20 74 E2 86 E6	59014	35
115.01	9.12E+05		A5 37 73 BA AA E6	59050	36
115.08	6.16E+05		A0 25 73 94 CE E6	59086	36
115.15	1.54E+06		32 5E 73 6C F2 E6	59122	36
115.22	8.61E+05		85 34 73 46 16 E7	59158	36
115.29	2.05E+03		00 08 70 1E 3A E7	59194	36
115.36	4.38E+05		00 6B 72 F8 5D E7	59229	35
115.43	1.28E+06		E9 4D 73 D2 81 E7	59265	36
115.5	8.50E+05		E0 33 73 AA A5 E7	59301	36
115.57	3.98E+04		DB 26 71 84 C9 E7	59337	36
115.64	6.64E+05		8E 28 73 5C ED E7	59373	36
115.71	5.52E+05		AE 21 73 36 11 E8	59409	36
115.78	7.66E+05		C0 2E 73 0E 35 E8	59445	36
115.85	1.89E+05		25 2E 72 E8 58 E8	59480	35
115.92	8.10E+05		6E 31 73 C0 7C E8	59516	36
115.99	5.97E+05		72 24 73 9A A0 E8	59552	36
116.06	8.78E+02		6E 03 70 74 C4 E8	59588	36
116.13	0.00E+00		00 00 70 4C E8 E8	59624	36
116.2	4.52E+05		5B 6E 72 26 0C E9	59660	36
116.27	1.17E+03		92 04 70 FE 2F E9	59695	35
116.34	8.78E+02		6E 03 70 D8 53 E9	59731	36
116.41	1.24E+05		92 78 71 B0 77 E9	59767	36
116.48	0.00E+00		00 00 70 8A 9B E9	59803	36
116.55	5.85E+02		49 02 70 62 BF E9	59839	36
116.62	2.93E+03		6E 0B 70 3C E3 E9	59875	36
116.69	2.93E+02		25 01 70 14 07 EA	59911	36
116.76	1.69E+05		37 29 72 EE 2A EA	59946	35
116.83	3.50E+05		6E 55 72 C8 4E EA	59982	36
116.9	4.97E+03		6E 13 70 A0 72 EA	60018	36
116.97	2.07E+06		1B 7E 73 7A 96 EA	60054	36
117.04	8.78E+02		6E 03 70 52 BA EA	60090	36
117.11	0.00E+00		00 00 70 2C DE EA	60126	36
117.18	0.00E+00		00 00 70 04 02 EB	60162	36
117.25	1.65E+05		5B 28 72 DE 25 EB	60197	35
117.32	3.18E+05		B7 4D 72 B6 49 EB	60233	36
117.39	3.41E+05		49 53 72 90 6D EB	60269	36
117.46	1.35E+06		5B 52 73 6A 91 EB	60305	36
117.53	6.66E+05		A9 28 73 42 B5 EB	60341	36
117.6	2.29E+05		C9 37 72 1C D9 EB	60377	36
117.67	6.51E+05		BB 27 73 F4 FC EB	60412	35
117.74	6.10E+05		40 25 73 CE 20 EC	60448	36
117.81	2.66E+05		DB 40 72 A6 44 EC	60484	36
117.88	1.07E+06		4E 41 73 80 68 EC	60520	36
117.95	7.85E+05		E5 2F 73 58 8C EC	60556	36
118.02	0.00E+00		00 00 70 32 B0 EC	60592	36
118.09	4.47E+05		37 6D 72 0C D4 EC	60628	36
118.16	6.16E+05		92 25 73 E4 F7 EC	60663	35
118.23	2.93E+02		25 01 70 BE 1B ED	60699	36
118.3	2.00E+05		C9 30 72 96 3F ED	60735	36
118.37	0.00E+00		00 00 70 70 63 ED	60771	36
118.44	0.00E+00		00 00 70 48 87 ED	60807	36
118.51	1.46E+03		B7 05 70 22 AB ED	60843	36
118.58	1.88E+05		C9 2D 72 FA CE ED	60878	35
118.65	2.95E+05	0.07	EE 47 72 D4 F2 ED	60914	36
118.72	1.38E+04	0.07	B7 35 70 AE 16 EE	60950	36
118.79	0.00E+00	0.56	00 00 70 86 3A EE	60986	36
119.35	0.00E+00	0.07	00 00 70 4E 59 EF	61273	287
119.42	1.81E+05	0.07	49 2C 72 28 7D EF	61309	36
119.49	1.34E+05		A5 20 72 02 A1 EF	61345	36
119.56	8.81E+04		00 56 71 DA C4 EF	61380	35
119.63	4.10E+03		00 10 70 B4 E8 EF	61416	36
119.7	3.16E+05		25 4D 72 8C 0C F0	61452	36
119.77	0.00E+00		00 00 70 66 30 F0	61488	36
119.91	0.00E+00		00 00 70 18 78 F0	61560	72
119.98	1.59E+05		B7 26 72 F0 9B F0	61595	35
120.05	7.36E+05		F2 2C 73 CA BF F0	61631	36
120.12	2.08E+04		25 51 70 A4 E3 F0	61667	36
120.19	0.00E+00		00 00 70 7C 07 F1	61703	36
120.61	0.00E+00		00 00 70 92 DE F1	61918	215
120.68	2.64E+05		6E 40 72 6C 02 F2	61954	36
120.75	1.60E+05		12 27 72 46 26 F2	61990	36
120.82	6.70E+05		E5 28 73 1E 4A F2	62026	36
120.89	0.00E+00		00 00 70 F8 6D F2	62061	35
120.96	6.14E+03		00 18 70 D0 91 F2	62097	36
121.03	7.90E+04		25 4D 71 AA B5 F2	62133	36
121.1	7.14E+05		8E 2B 73 82 D9 F2	62169	36
121.17	2.53E+05		C9 3D 72 5C FD F2	62205	36
121.24	0.00E+00		00 00 70 34 21 F3	62241	36
121.31	0.00E+00		00 00 70 0E 45 F3	62277	36
121.38	2.00E+05		B7 30 72 E8 68 F3	62312	35
121.45	0.00E+00		00 00 70 C0 8C F3	62348	36
121.52	4.59E+05		25 70 72 9A B0 F3	62384	36
121.59	3.76E+05		DB 5B 72 72 D4 F3	62420	36
121.66	5.88E+05		E0 23 73 4C F8 F3	62456	36
121.73	8.10E+05		6E 31 73 24 1C F4	62492	36
121.8	4.10E+05		00 64 72 FE 3F F4	62527	35
121.87	9.84E+05		09 3C 73 D6 63 F4	62563	36
121.94	1.89E+06		77 73 73 B0 87 F4	62599	36
122.01	4.49E+06		93 44 74 88 AB F4	62635	36
122.08	5.23E+06		CE 4F 74 62 CF F4	62671	36
122.15	4.97E+06		D5 4B 74 3C F3 F4	62707	36
122.22	6.08E+06		C3 5C 74 14 17 F5	62743	36
122.29	6.29E+06		EA 5F 74 EE 3A F5	62778	35
122.36	4.90E+06		D3 4A 74 C6 5E F5	62814	36
122.44	1.77E+06		F7 6B 73 A0 82 F5	62850	36
122.51	1.88E+06		00 73 73 78 A6 F5	62886	36
122.58	4.08E+06		37 3E 74 52 CA F5	62922	36
122.65	3.06E+06		BD 2E 74 2A EE F5	62958	36
122.72	5.68E+05		A9 22 73 04 12 F6	62994	36
122.79	9.66E+03		B7 25 70 DE 35 F6	63029	35
122.86	1.28E+06		E9 4D 73 B6 59 F6	63065	36
122.93	7.54E+05		00 2E 73 90 7D F6	63101	36
123	7.96E+05		92 30 73 68 A1 F6	63137	36
123.07	7.62E+05		80 2E 73 42 C5 F6	63173	36
123.14	5.32E+05		72 20 73 1A E9 F6	63209	36
123.21	1.62E+05		92 27 72 F4 0C F7	63244	35
123.28	4.97E+03		6E 13 70 CC 30 F7	63280	36
123.35	3.60E+04		25 23 71 A6 54 F7	63316	36
123.42	4.10E+03		00 10 70 80 78 F7	63352	36
123.49	6.84E+05		C0 29 73 58 9C F7	63388	36
123.56	2.77E+05		92 43 72 32 C0 F7	63424	36
123.63	5.66E+05		92 22 73 0A E4 F7	63460	36
123.7	2.19E+05		5B 35 72 E4 07 F8	63495	35
123.77	1.93E+06		DB 75 73 BC 2B F8	63531	36
123.84	4.40E+05		5B 6B 72 96 4F F8	63567	36
123.91	8.76E+05		7B 35 73 6E 73 F8	63603	36
123.98	1.15E+06		09 46 73 48 97 F8	63639	36
124.05	1.21E+05		92 76 71 20 BB F8	63675	36
124.12	4.90E+05		80 77 72 FA DE F8	63710	35
124.19	6.67E+05		AE 28 73 D4 02 F9	63746	36
124.26	3.92E+05		B7 5F 72 AC 26 F9	63782	36
124.33	0.00E+00		00 00 70 86 4A F9	63818	36
124.54	0.00E+00		00 00 70 10 B6 F9	63926	108
124.61	2.07E+05		6E 32 72 EA D9 F9	63961	35
124.68	9.20E+05		2E 38 73 C2 FD F9	63997	36
124.75	4.51E+05		37 6E 72 9C 21 FA	64033	36
124.82	2.39E+05		49 3A 72 76 45 FA	64069	36
124.89	1.19E+05		92 74 71 4E 69 FA	64105	36
124.96	0.00E+00		00 00 70 28 8D FA	64141	36
125.03	2.11E+05		6E 33 72 00 B1 FA	64177	36
125.1	1.72E+05		12 2A 72 DA D4 FA	64212	35
125.17	3.96E+05		C9 60 72 B2 F8 FA	64248	36
125.24	9.57E+05		65 3A 73 8C 1C FB	64284	36
125.31	9.01E+05		FB 36 73 64 40 FB	64320	36
125.38	1.96E+05		DB 2F 72 3E 64 FB	64356	36
125.45	1.36E+06		C0 52 73 18 88 FB	64392	36
125.52	3.71E+06		A1 38 74 F0 AB FB	64427	35
125.59	1.10E+06		F2 42 73 CA CF FB	64463	36
125.66	2.10E+06		06 20 74 A2 F3 FB	64499	36
125.73	2.03E+06		C9 7B 73 7C 17 FC	64535	36
125.8	2.52E+06		66 26 74 54 3B FC	64571	36
125.87	1.84E+06		8E 70 73 2E 5F FC	64607	36
125.94	1.62E+06		FB 62 73 06 83 FC	64643	36
126.01	1.29E+06		69 4E 73 E0 A6 FC	64678	35
126.08	1.41E+06		E9 55 73 BA CA FC	64714	36
126.15	1.48E+05		12 24 72 92 EE FC	64750	36
126.22	4.66E+05		A5 71 72 6C 12 FD	64786	36
126.29	2.41E+05		C9 3A 72 44 36 FD	64822	36
126.36	0.00E+00		00 00 70 1E 5A FD	64858	36
126.43	0.00E+00		00 00 70 F6 7D FD	64893	35
126.5	3.12E+05		12 4C 72 D0 A1 FD	64929	36
126.57	2.48E+05		6E 3C 72 A8 C5 FD	64965	36
126.64	1.04E+05		6E 65 71 82 E9 FD	65001	36
126.71	1.36E+05		49 21 72 5A 0D FE	65037	36
126.78	2.69E+04		25 69 70 34 31 FE	65073	36
126.85	5.47E+04		6E 35 71 0E 55 FE	65109	36
126.92	1.65E+05		37 28 72 E6 78 FE	65144	35
126.99	1.68E+05		00 29 72 C0 9C FE	65180	36
127.06	6.35E+04		00 3E 71 98 C0 FE	65216	36
127.13	6.22E+05		F2 25 73 72 E4 FE	65252	36
127.2	5.85E+02		49 02 70 4A 08 FF	65288	36
127.27	0.00E+00		00 00 70 24 2C FF	65324	36
127.34	3.75E+05		92 5B 72 FC 4F FF	65359	35
127.41	5.12E+04		00 32 71 D6 73 FF	65395	36
127.48	7.21E+05		FB 2B 73 B0 97 FF	65431	36
127.55	5.56E+04		49 36 71 88 BB FF	65467	36
127.62	1.65E+05		5B 28 72 62 DF FF	65503	36
127.69	3.13E+04		49 7A 80 9E 01 80	32769	-32734
127.76	8.78E+02		6E 03 80 8A 13 80	32787	18
127.83	0.00E+00		00 00 80 76 25 80	32805	18
127.9	6.57E+05		12 28 83 64 37 80	32823	18
127.97	1.98E+05		5B 30 82 50 49 80	32841	18
128.04	1.08E+04		49 2A 80 3C 5B 80	32859	18
128.11	6.91E+04		6E 43 81 28 6D 80	32877	18
128.18	8.89E+04		DB 56 81 16 7F 80	32895	18
128.25	2.11E+05		92 33 82 02 91 80	32913	18
128.32	0.00E+00		00 00 80 EE A2 80	32930	17
128.53	0.00E+00		00 00 80 B4 D8 80	32984	54
128.6	5.62E+05		45 22 83 A0 EA 80	33002	18
128.67	1.40E+04		DB 36 80 8E FC 80	33020	18
128.74	2.59E+05		37 3F 82 7A 0E 81	33038	18
128.81	8.31E+04		25 51 81 66 20 81	33056	18
128.88	0.00E+00		00 00 80 52 32 81	33074	18
128.95	4.73E+05		6E 73 82 40 44 81	33092	18
129.02	0.00E+00		00 00 80 2C 56 81	33110	18
129.09	4.29E+05		C9 68 82 18 68 81	33128	18
129.16	2.91E+05		00 47 82 06 7A 81	33146	18
129.23	1.60E+05		25 27 82 F2 8B 81	33163	17
129.3	6.92E+05		37 2A 83 DE 9D 81	33181	18
129.37	4.21E+05		B7 66 82 CA AF 81	33199	18
129.44	8.46E+05		A9 33 83 B8 C1 81	33217	18
129.51	1.05E+06		D2 3F 83 A4 D3 81	33235	18
129.58	8.01E+05		E5 30 83 90 E5 81	33253	18
129.65	2.25E+05		DB 36 82 7C F7 81	33271	18
129.72	1.19E+06		8E 48 83 6A 09 82	33289	18
129.79	1.69E+06		65 67 83 56 1B 82	33307	18
129.86	9.40E+05		5B 39 83 42 2D 82	33325	18
129.93	7.82E+05		C0 2F 83 30 3F 82	33343	18
130	8.62E+05		97 34 83 1C 51 82	33361	18
130.07	2.06E+05		49 32 82 08 63 82	33379	18
130.14	4.39E+03		25 11 80 F4 74 82	33396	17
130.21	1.84E+06		65 70 83 E2 86 82	33414	18
130.28	1.01E+06		7B 3D 83 CE 98 82	33432	18
130.35	8.59E+05		6E 34 83 BA AA 82	33450	18
130.42	1.27E+06		8E 4D 83 A8 BC 82	33468	18
130.49	1.90E+06		0E 74 83 94 CE 82	33486	18
130.56	7.36E+05		F2 2C 83 80 E0 82	33504	18
130.63	6.75E+05		32 29 83 6C F2 82	33522	18
130.7	6.47E+05		80 27 83 5A 04 83	33540	18
130.77	1.85E+06		20 71 83 46 16 83	33558	18
130.84	1.45E+06		A5 58 83 32 28 83	33576	18
130.91	2.36E+06		FE 23 84 1E 3A 83	33594	18
130.98	1.25E+06		F7 4B 83 0C 4C 83	33612	18
131.05	1.63E+06		B2 63 83 F8 5D 83	33629	17
131.12	9.98E+05		E9 3C 83 E4 6F 83	33647	18
131.19	1.29E+06		B2 4E 83 D2 81 83	33665	18
131.26	3.46E+05		6E 54 82 BE 93 83	33683	18
131.33	1.32E+06		8E 50 83 AA A5 83	33701	18
131.4	1.59E+06		17 61 83 96 B7 83	33719	18
131.47	1.42E+06		DB 56 83 84 C9 83	33737	18
131.54	1.89E+06		A0 73 83 70 DB 83	33755	18
131.61	1.24E+06		80 4B 83 5C ED 83	33773	18
131.68	1.38E+06		65 54 83 48 FF 83	33791	18
131.75	1.27E+06		C5 4D 83 36 11 84	33809	18
131.82	1.22E+06		32 4A 83 22 23 84	33827	18
131.89	1.55E+06		B7 5E 83 0E 35 84	33845	18
131.96	1.13E+06		CE 44 83 FC 46 84	33862	17
132.03	6.10E+05		37 25 83 E8 58 84	33880	18
132.1	3.87E+05		92 5E 82 D4 6A 84	33898	18
132.17	7.77E+05		6E 2F 83 C0 7C 84	33916	18
132.24	2.47E+05		37 3C 82 AE 8E 84	33934	18
132.31	4.27E+04		B7 29 81 9A A0 84	33952	18
132.38	2.05E+03		00 08 80 86 B2 84	33970	18
132.45	5.05E+05		49 7B 82 74 C4 84	33988	18
132.52	0.00E+00		00 00 80 60 D6 84	34006	18
132.59	4.18E+05		25 66 82 4C E8 84	34024	18
132.66	0.00E+00		00 00 80 38 FA 84	34042	18
132.73	4.42E+05		C9 6B 82 26 0C 85	34060	18
132.8	4.74E+04		49 2E 81 12 1E 85	34078	18
132.87	0.00E+00		00 00 80 FE 2F 85	34095	17
132.94	2.55E+05		5B 3E 82 EA 41 85	34113	18
133.01	0.00E+00		00 00 80 D8 53 85	34131	18
133.22	0.00E+00		00 00 80 9E 89 85	34185	54
133.29	1.92E+05		DB 2E 82 8A 9B 85	34203	18
133.36	2.29E+05		EE 37 82 76 AD 85	34221	18
133.43	0.00E+00		00 00 80 62 BF 85	34239	18
133.5	0.00E+00		00 00 80 50 D1 85	34257	18
133.57	4.14E+05		12 65 82 3C E3 85	34275	18
133.64	9.83E+04		00 60 81 28 F5 85	34293	18
133.71	1.48E+05		00 24 82 14 07 86	34311	18
133.78	0.00E+00		00 00 80 02 19 86	34329	18
133.85	0.00E+00		00 00 80 EE 2A 86	34346	17
133.92	2.45E+05		DB 3B 82 DA 3C 86	34364	18
133.99	2.98E+05		A5 48 82 C8 4E 86	34382	18
134.06	1.43E+04		00 38 80 B4 60 86	34400	18
134.13	1.76E+03		DB 06 80 A0 72 86	34418	18
134.2	0.00E+00		00 00 80 8C 84 86	34436	18
134.34	0.00E+00		00 00 80 66 A8 86	34472	36
